id,time,InfectionLevel11,dead1,infected1,naive1,patientFlowOver11,patientFlowOver21,patient_severe_critical1,vaccinated1
115,2/09:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
116,2/10:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
117,2/10:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
118,2/11:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
119,2/11:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
120,2/12:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
121,2/12:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
122,2/13:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
123,2/13:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
124,2/14:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
125,2/14:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
126,2/15:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
127,2/15:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
128,2/16:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
129,2/16:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
130,2/17:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
131,2/17:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
132,2/18:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
133,2/18:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
134,2/19:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
135,2/19:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
136,2/20:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
137,2/20:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
138,2/21:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
139,2/21:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
140,2/22:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
141,2/22:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
142,2/23:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
143,2/23:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
144,3/00:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
145,3/00:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
146,3/01:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
147,3/01:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
148,3/02:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
149,3/02:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
150,3/03:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
151,3/03:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
152,3/04:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
153,3/04:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
154,3/05:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
155,3/05:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
156,3/06:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
157,3/06:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
158,3/07:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
159,3/07:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
160,3/08:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
161,3/08:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
162,3/09:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
163,3/09:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
164,3/10:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
165,3/10:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
166,3/11:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
